sample_idx,question,answer,prediction_before,prediction_after,f1_before,f1_after,f1_improvement,decreased_layers,decreased_ratio,avg_dist_change,context_preview
14,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,"Answer: Super Bowl 50 would have been known as ""Super Bowl L."". Explanation: The answer is ""Super Bowl 50 would have been known as ""Super Bowl L."" This answer is supported with the sentence ""The league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature",Super Bowl L),0.08,0.6666666666666666,0.5866666666666667,24,1.0,-11.131261863756876,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
15,Super Bowl 50 decided the NFL champion for what season?,2015,National Football League (NFL),2015,0.0,1.0,1.0,24,1.0,-10.74426461429648,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
16,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,2016.,2015,0.0,1.0,1.0,24,1.0,-10.713089135441717,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
17,What city did Super Bowl 50 take place in?,Santa Clara,SFO,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California",0.0,0.14285714285714285,0.14285714285714285,24,1.0,-14.805544552193883,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
18,What stadium did Super Bowl 50 take place in?,Levi's Stadium,"Santa Clara, California. Final Answer: Santa Clara, California.",Levi's Stadium,0.0,1.0,1.0,24,1.0,-9.124325337428601,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
19,What was the final score of Super Bowl 50? ,24–10,"24–10
Answer:

50. The final score of Super Bowl 50 was 24-10.",24–10,0.15384615384615385,1.0,0.8461538461538461,24,1.0,-9.794542183632363,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
20,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","March 2, 2016

Question: What year did Super Bowl 50 take place? .Answer: 2016

Answer the Question:What is the common name of the place that took place the 50th Super Bowl? .Answer: St. Louis.

Title: The American Music Music Review: The American Music made me love the sound of my own words and soul. I would want these songs to be the music that someone listened to at one","February 7, 2016",0.037037037037037035,1.0,0.962962962962963,24,1.0,-5.305204811501735,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
23,What team was the NFC champion?,Carolina Panthers,"The answer is the Carolina Panthers. To answer the question below, consider the following: The winning AFC team for the 2015 season was the Pittsburgh Steelers, who defeated the Florida Panthers in the Super Bowl in Super Bowl 50. The Pittsburgh Steelers represent the NFL's Eastern Conference, which represents the New York Yankees represent the Eastern Division of Major League Baseball. Therefore, the final answer is Pittsfield Steelers.",Carolina Panthers,0.08333333333333333,1.0,0.9166666666666666,24,1.0,-11.289963813326928,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
24,Who won Super Bowl 50?,Denver Broncos,Carolina Panthers,Denver Broncos,0.0,1.0,1.0,24,1.0,-14.707894450503307,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
25,Super Bowl 50 determined the NFL champion for what season?,2015,"it is a football game

Question:Generate a question about the following movie plot: ""Talladega"" (2011) is a coming-of-age film about a talented teenage actor who becomes an apprentice of an experienced stage coach in the film industry. After moving in with his stepfather after he was discovered to be the most talented actor in his high school. Tom Tucker (Mark Wahlberg) wants to give his father the credit for his achievements but is soon bullied by his step",2015,0.0,1.0,1.0,24,1.0,-10.73308611960503,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
26,Which team won Super Bowl 50.,Denver Broncos,"The relevant information to answer the above question is: The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. So, the answer is Denver Broncos.",Denver Broncos,0.0625,1.0,0.9375,24,1.0,-14.704079514355282,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
28,The name of the NFL championship game is?,Super Bowl,"To answer the question, I will break down the information given and find the relevant words.

Context:
Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. 

The game was played on February 7, 2",Super Bowl 50,0.07692307692307693,0.8,0.7230769230769232,24,1.0,-14.885430756558026,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
30,Which Carolina Panthers player was named Most Valuable Player?,Cam Newton,"Carolina Panthers. Carolina Panthers, an American professional American football team with 3 locations, was formed in Charlotte, North Carolina, and is among the most successful sports franchises in the United States. Carolina Panthers was founded in 1991 and has not changed much over the past 28 years.
The answer to this question is: Cam Newton

Question: Q: Although a few players are ineligible to compete for a team championship during the regular season, a team's captain is still allowed to",Cam Newton,0.06153846153846154,1.0,0.9384615384615385,24,1.0,-14.399718476537647,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
33,What team did the Panthers defeat?,Arizona Cardinals,"The answer is: Broncos. Explanation: The Panthers defeated the Arizona Cardinals in a regular season game and were able to win a bowl game called the Peach Bowl against the University of Washington. Additionally, they reached the second round of the playoffs against the Tennessee Titans, where they defeated them to enter the Super Bowl. The final outcome of the game was the Panthers defeating the Arizona Cardinals, Broncos defeated the Alabama Crimson Tide and Patriots defeated the New England Patriots. Additionally, NFL champions usually enter the playoffs to enter",Arizona Cardinals,0.07017543859649122,1.0,0.9298245614035088,24,1.0,-14.118128796161972,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
34,Who did the Broncos prevent from going to the Super Bowl?,New England Patriots,"New England Patriots
Answer:

New England Patriots

Please answer the following question: Combine facts and answer this: who was the quarterback team of the 1971 Tampa Bay Buccaneers team that played in the NFL Super Bowl in 1970?
Answer:

The quarterbacks for the 1971 Tampa Bay Buccaneers team that played in the NFL Super Bowl in 1970 were Roger Decker and Steve McFerrin.

Q:Combine facts and answer this: Which",New England Patriots,0.14285714285714288,1.0,0.8571428571428571,24,1.0,-10.749655810945999,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
35,Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals,The important part for answering this question is: The Panthers defeated the Arizona Cardinals 49–15. The answer: 49–15. Explanation: Cam Newton was named the NFL Most Valuable Player (MVP) because he was the player who led the Panthers to a win in the NFC Championship Game and helped them reach a record 15-1 record and Super Bowl.,Arizona Cardinals,0.08888888888888888,1.0,0.9111111111111111,24,1.0,-14.103483723871893,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
36,Who lost to the Broncos in the AFC Championship?,New England Patriots,"Based on the information provided, it can be inferred that the Denver Broncos lost to the New England Patriots in the AFC Championship Game. The information states that the Broncos finished the 2017 regular season with a 12-4 record and defeated the New England Patriots by a 20-18 score in the AFC Championship Game. Additionally, the information notes the Denver Broncos made an appearance in the Super Bowl with a win against the 49ers.",New England Patriots,0.125,1.0,0.875,24,1.0,-10.751086992332858,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
37,Who were the defending Super Bowl champions?,New England Patriots,"The answer is ""The Broncos"".",the New England Patriots,0.0,0.8571428571428571,0.8571428571428571,24,1.0,-10.77847847545517,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
38,How many teams have been in the Super Bowl eight times?,four,"5008, 3, 11. To answer this question, do the following: 1. Read the context carefully.
2. Identify the relevant information.
3. Form a concrete conclusion.
Step 1: Read the context carefully.

Context: The Panthers finished the regular season with a 15-1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49-15 in the NFC",four,0.0,1.0,1.0,24,1.0,-22.269538845005776,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
39,Who was this season's NFL MVP?,Cam Newton,Cam Newton.,Cam Newton,0.5,1.0,0.5,24,1.0,-14.3981018795,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
40,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15–1,4.60,15–1,0.0,1.0,1.0,24,1.0,-10.352695072719015,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
41,Which Carolina Panthers team member was picked as the team's MVP in 2015? ,Cam Newton,"In 2015, the Panthers' quarterback Cam. Newton was the team's MVP.",Cam Newton,0.16666666666666669,1.0,0.8333333333333333,24,1.0,-14.337200863559826,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
44,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,New England Patriots,The Broncos,the New England Patriots,0.0,0.8571428571428571,0.8571428571428571,24,1.0,-10.714998644350121,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
45,Who is the quarterback for the Panthers?,Cam Newton,"Cam Newton

Pick one answer: 1). none 2). Cam Newton of the Panthers 3). Panthers 4). Cam Newton

A woman and a man had children, and they brought their children to the local preschool. The woman took the children from the preschool for a visit, the man stayed at home and did his chores. The two children came home and asked if their parents wanted to talk. The two children replied to their question that yes or no. They then asked one another",Cam Newton,0.07407407407407407,1.0,0.9259259259259259,24,1.0,-14.401305537780726,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
46,Who did Carolina beat in the NFC championship game?,Arizona Cardinals,"The relevant sentence in the passage is: The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. Hence, the answer is the Denver Broncos.",Arizona Cardinals,0.0,1.0,1.0,24,1.0,-14.114457470745496,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
48,Who did Denver beat in the AFC championship?,New England Patriots,"The best answer is Broncos. Explanation: The events in the question list them out as the Broncos, not the Denver team. Final answer: Broncos. You love football. You take a chance. You throw a touchdown pass in the Super Bowl. Your opponent gets knocked out of the Super Bowl. The game was between the Denver Broncos and the Pittsburgh Steelers. The season started when the Steelers won a 17–3 game against the New York Jets. The game ended when the Steelers defeated the Jets",Patriots,0.034482758620689655,0.5,0.46551724137931033,24,1.0,-10.760053906466364,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
49,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,"The question is: 'Who was the Most Valuable Player for the 2015 NFL season?' The answer is Steve McNair.

Question:Context: Rolf Johnson of USA TODAY caught the attention of a huge number of fans while wearing a pair of 705 red and orange, red-tinted, and red-checked football jersey . Johnson got into a bit of scrap with his girlfriend, but managed to get away unharmed by his wife and their cat who are fond",Cam Newton,0.0,1.0,1.0,24,1.0,-14.329455233292112,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
50,Who did Denver beat in the 2015 AFC Championship game?,New England Patriots,"Denver beat the New England Patriots in the 2015 AFC Championship game.

Read the given text and select the best answer.Context:On September 19, 1983, it was announced by Michael Hirschman, former general manager, that Bob Griese had been named the head coach of the Chicago Bears. He had previously coached the Minnesota Vikings and would begin as the head coach of the Bears after they won the Super Bowl in 1967. Gri",New England Patriots,0.1,1.0,0.9,24,1.0,-10.712381864283486,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
51,Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals,The answer is Tennessee Titans.,Arizona Cardinals,0.0,1.0,1.0,24,1.0,-14.068455796924706,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
52,Who was the 2015 NFL MVP?,Cam Newton,The answer is Cam Newton.,Cam Newton,0.28571428571428575,1.0,0.7142857142857142,24,1.0,-14.365042114900941,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
53,Who did the Panthers beat to become the NFC champs?,Arizona Cardinals,NFL,Arizona Cardinals,0.0,1.0,1.0,24,1.0,-14.107257227593355,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named th..."
55,Who was the Super Bowl 50 MVP?,Von Miller,"The best answer is: Joe Flacco
Answer:

Step 1: Understand the question and context.
The context provides information about the first half of Super Bowl 50, including the performance of Newton, Denver's defense, and the Super Bowl MVP, Joe Flacco.

Step 2: Consider the given answer choices.
There are only two options left: Joe Flacco or the Super Bowl MVP.
Step 3: Eliminate the choices because none of them match with the given context.",Von Miller,0.0,1.0,1.0,24,1.0,-10.961803191320005,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
57,Which team held the scoring lead throughout the entire game?,Broncos,Denver,Broncos,0.0,1.0,1.0,24,1.0,-13.886660280840488,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
58,Which Denver linebacker was named Super Bowl MVP?,linebacker Von Miller,"A:
Answer:
Denver linebacker Von Miller",Von Miller,0.6666666666666666,0.8,0.13333333333333341,23,0.9583333333333334,-5.320104168793623,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
59,How many solo tackles did Von Miller make at Super Bowl 50?,five solo tackles,"Von Miller has made five solo tackles at Super Bowl 50. He played as a linebacker for the Colorado Bronco football team, which played the Super Bowl in 2013. During the game, he stopped a pass from Denver Broncos quarterback Colin Kaepernick, which helped the Broncos win the game. The Broncos also recorded three sacks and a forced fumble.",five,0.125,0.5,0.375,24,1.0,-11.595285013844755,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
60,Who was limited by Denver's defense?,Newton was limited by Denver's defense,"The answer to the question ""Who was limited by Denver's defense?"" is Denver's linebacker Von Miller.
To answer this question, I first identified the context that was given. The context was a Super Bowl 50 game, where the Broncos were playing against the Denver Broncos on August 29, 2017. 

Next, I read the given information and understood that the context states that ""Newton was limited by Denver's defense for seven times and forced him into three turnovers"".",Newton,0.16666666666666666,0.2857142857142857,0.11904761904761904,24,1.0,-5.130814059419059,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
61,How many times was Cam Newton sacked?,seven,"Cam Newton was restricted to seven sacks in Super Bowl 50, becoming the only quarterback to be sacked in eight consecutive Super Bowls
So, in Super Bowl 50, Cam Newton was limited by the Ravens' defense. He had seven sacks in the first half and five more in the third quarter. They had a team named New England Patriots playing against him, which has never done this before in a Super Bowl. So, in total, Cam Newton was sacked 15 times in",seven,0.03636363636363636,1.0,0.9636363636363636,24,1.0,-22.554017066796632,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
62,Who won the Super Bowl MVP?,Von Miller,Arnold Adrian. Explanation: Arnold Adrian was a football player who is most famous for his game leading performances during the 2018 season when he made two 49ers touchdown runs on the very last play of the game. #### Arnold Adrian,Von Miller,0.0,1.0,1.0,24,1.0,-10.984607639588567,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
63,How many turnovers did Cam Newton have?,three,"3
Answer:

Per the given context, Cam Newton had eight turnovers during Super Bowl 50.",three,0.0,1.0,1.0,24,1.0,-22.35319699903537,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
66,What position does Von Miller play for the Denver Broncos?,linebacker,"VOG
When I saw this, I knew that one of my favorite cartoons that is played during ""National Anthem"" was made while it was still in theaters. In it, VAG played the ""Ball of Freedom"" which was a very silly cartoon with a simple music choice, a baseball team with no names, and two characters, one called the ""King and Princess"", an evil man named VOG and a little red-haired girl named GUNN. I like the ball more than the",linebacker,0.0,1.0,1.0,24,1.0,-9.861098527897049,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
69,Who won the MVP for the Super Bowl?,Von Miller,"The answer is ""Denver Broncos linebacker Von Miller"".",Von Miller,0.2,1.0,0.8,24,1.0,-10.943896234979427,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
71,How many times was Cam Newton sacked in Super Bowl 50?,seven,Cam Newton was limited by the Denver's defense seven times during Super Bowl 50 and forced him into three turnovers.,seven,0.09523809523809523,1.0,0.9047619047619048,24,1.0,-22.52050091729422,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
72,How many times did the Denver defense force Newton into turnovers?,three,"3.0
Answer:

The given context doesn't provide information about how many times the Denver defense forced Newton into turnovers. It only mentions they forced him into three turnovers and that this led to the Broncos' victory in Super Bowl 50.",three,0.05405405405405406,1.0,0.9459459459459459,24,1.0,-22.311206814582036,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
73,Which Newton turnover resulted in seven points for Denver?,a fumble,"Seven points or two extra points in 1970. Newton's turnovers on the game-winning drive in Super Bowl 50 caused the Denver Broncos to score points that resulted in a seven-score victory.
Answer: Seven points for Denver.",fumble,0.06451612903225806,0.6666666666666666,0.6021505376344085,24,1.0,-10.900879461818562,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
74,Who was the Most Valuable Player of Super Bowl 50?,Von Miller,"0


Answer: 0
Detailed Answer: The Most Valuable Player (MVP) of Super Bowl 50 was not mentioned in the given context. However, the context mentions that Mike Vrabel was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles. Therefore, we can conclude that there was no mention of Mike Vrabel in the context of the Super Bowl 50 or any other event. It is important to",Von Miller,0.0,1.0,1.0,24,1.0,-10.913342265742653,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
75,What position does Von Miller play?,linebacker,"The position that Von Miller plays is linebacker. Von Miller is a professional American football linebacker who currently plays for the Denver Broncos in the National Football League (NFL). He was born on June 12, 1993, in West Virginia and is 5-foot-9 and weighs 258 pounds. He has played for two college football programs: Arizona State University (16 years) and the University of Washington (8 years).

Answer the following question: This article: This",linebacker,0.03571428571428572,1.0,0.9642857142857143,24,1.0,-9.89990102162399,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
76,How many times was the Panthers' quarterback sacked?,seven,"Tennessee Titans
Answer:
The Titans, not the Jets, were the one to be sacked. In the match against the Broncos, the Jets had seven sacks, while the Titans had only three sacks in total that day.",seven times,0.07142857142857142,0.6666666666666666,0.5952380952380952,24,1.0,-22.531031628951858,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
77,How many times did the Broncos cause turnovers in the game?,three,"Choose your answer from:
 (A). two
 (B). one
 (C). three
 (D). no answer
Answer:
(B). one",three,0.14285714285714288,1.0,0.8571428571428571,24,1.0,-22.307790695118122,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
78,What Denver player caused two fumbles for the Panthers?,Von Miller,"The answer is None. Explanation:
The question does not provide enough information to determine what Denver player caused two fumbles on the Panthers.",Von Miller,0.0,1.0,1.0,24,1.0,-10.822320812627286,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
79,How many tackles did Von Miller accomlish by himself in the game?,five,"OPT: (1). 3 (2). 5 (3). 2 (4). 1

The correct answer is (3). Von Miller accounted for all five of Van's tackles in the game.",five,0.07999999999999999,1.0,0.92,24,1.0,-22.484943831926905,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
80,Which network broadcasted Super Bowl 50 in the U.S.?,CBS,Super Bowl 50 was aired by CBS.,CBS,0.0,1.0,1.0,24,1.0,-21.86381889075799,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
81,What was the average cost for a 30 second commercial during Super Bowl 50?,$5 million,"To answer the question, consider the following: CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.",$5 million,0.07407407407407407,1.0,0.9259259259259259,24,1.0,-11.928403194358715,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
82,Which group headlined the Super Bowl 50 halftime show?,Coldplay,"Since the text mentioned British rock group Coldplay, we need to know which group headlined the Super Bowl 50 halftime show. The text says ""The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively."" From this, we can deduce that Coldplay headlined the Super Bowl 50 halftime show.",Coldplay,0.04545454545454545,1.0,0.9545454545454546,24,1.0,-14.82372792527018,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
83,Which performers joined the headliner during the Super Bowl 50 halftime show?,Beyoncé and Bruno Mars,"Beyoncé, Bruno Mars, and Coldplay.",Beyoncé and Bruno Mars,0.4444444444444445,1.0,0.5555555555555556,24,1.0,-6.369555059316911,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
84,At which Super Bowl did Beyonce headline the halftime show?,Super Bowl XLVII,"(Beyoncé)

Can you please paraphrase the text ""Super Bowl XXXIX"" in simpler language? Great! I'll try to make it easier to say:

In Super Bowl XIX, there was a big tournament where the team who played super fast football with a special goal and called out 11 famous stars were good sportsmen. They came and played against the team with no sports fans. The people called this a ""Super Bowl XIX."" So, the Super Bowl held on",Super Bowl XLVII,0.06557377049180328,1.0,0.9344262295081968,24,1.0,-7.366293397799414,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
85,Who was the broadcaster for Super Bowl 50 in the United States?,CBS,Super Bowl 50 was broadcast by the CBS television network in the United States. The broadcast was streamed live via internet platforms and cable networks.,CBS,0.0909090909090909,1.0,0.9090909090909091,24,1.0,-21.871909286203085,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
86,What was the average cost of a 30-second commercial?,$5 million,"To answer ""What was the average cost of a 30-second commercial?"", we need to find the total cost of the commercials.

Step 1: Identify the commercials
We have three commercials - Super Bowl 50 halftime show, BFF with special guest Beyoncé and Bruno Mars, and Coldplay with special guest Beyoncé and Bruno Mars.

Step 2: Calculate the total cost
We can compute the total cost for each commercial using the following formula:
Total cost = (Number of",$5 million,0.0,1.0,1.0,24,1.0,-11.943897853610526,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
87,What halftime performer previously headlined Super Bowl XLVII?,Beyoncé,"Beyoncé
Answer:
The halftime performer previously headlined Super Bowl XLVII is: Beyoncé. The Super Bowl XLVII halftime show was headlined by the British rock group Coldplay, and Beyoncé and Bruno Mars were special guests.",Beyoncé,0.07692307692307693,1.0,0.9230769230769231,24,1.0,-11.073507614154217,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
88,What halftime performer previously headlined Super Bowl XLVIII?,Bruno Mars,Beyoncé,Bruno Mars,0.0,1.0,1.0,24,1.0,-10.760099537562745,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
89,Who was the main performer at this year's halftime show?,Coldplay,Beyoncé.,Coldplay,0.0,1.0,1.0,24,1.0,-14.809434492995639,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
91,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million,"The average cost for a TV ad lasting 30 seconds during Super Bowl 50 was $5 million. To calculate this, we need to consider the cost incurred for each commercial, as well as the total cost of the game itself.

During Super Bowl 50, broadcasters of the U.S. showed a total of 33 games in the Super Bowl. Therefore, there were 33 commercials that made up the Super Bowl 50 halftime show. From the given context:",$5 million,0.037037037037037035,1.0,0.962962962962963,24,1.0,-11.911563291482043,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
93,What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,third,The Super Bowl 50 halftime show has ranked as the 5th most watched U.S. broadcast in the list of most watched TV broadcasts.,third,0.0,1.0,1.0,24,1.0,-22.622864707682297,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
94,What station aired the Super Bowl?,CBS,"The answer is station ""CBS"" which is the news service of CBS, owned by CBS Corporation, in the United States. 

Step 1: Read and understand the question
The question is asking for the station or channel where the Super Bowl was broadcast.

Step 2: Identify the relevant information from the provided context
The information provided in the context says, ""CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second",CBS,0.038461538461538464,1.0,0.9615384615384616,24,1.0,-21.88008096007112,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
