clean,corrupted,label
"Note that I originally developed this game under & Windows; with Borland C++ and WinG. I ported it to & Java; before converting back to C++ and & kde;. At the beginning I used French or a mix of French and English to name the identifiers (classnames, methods, members, & etc;). I also used French for the comments. When I decided to distribute this game, I decided to convert all to english... but I am clearly not a native English speaker: please suggest or make and submit corrections, to the code comments or to this documentation",x x x x x x x x x xx x x xxx x xx x x x x x xx x x x x xxx x x xxx x x x x x x x x x x x x x x x x x xxx xx xx x xxxx x x x x x x xx x x x x x x xx x x x x x x xxxx x x x x x x x x xx x x x x x x xx x x x x x x x x,"Remarquez que j'ai à l'origine développé ce jeu sous & Windows; avec Borland C++ et WinG. Je l'ai porté sous & Java; avant de le convertir en C++ pour & kde;. Au commencement, j'ai utilisé le français et un mixte de français et d'anglais pour nommer mes identifiants (noms de classe, méthodes, membres, & etc;). J'ai aussi utilisé le français pour les commentaires. Quand j'ai décidé de distribuer ce jeu, j'ai tout converti en anglais... Mais je ne suis clairement pas un orateur natif anglais. Veuillez suggérer ou corriger et soumettre vos corrections aux commentaires de ce code ou à cette documentation."
Creating new skins,x x x,Création de nouveaux thèmes
"& kappname; comes with a skin editor, named ksirkskineditor(!), that allows to edit all skin data, as soon as graphics (map, sprites, etc.) are available in a SVG file. Please see the ksirkskineditor manual for further details.",x xx x x x x xx x xxxxx x x x x x x xx x x x x xxx xx xxx x x x x x xx x x x x x x x xx,"& kappname; est fourni avec un éditeur de thèmes, appelé ksirkskineditor, qui vous permet de modifier toutes les données du thème, aussitôt que les fichiers graphiques (cartes, spirites, etc.) sont disponibles dans le fichier SVG. Veuillez lire le manuel de ksirkskineditor pour plus d'informations."
Questions and Answers,x x x,Foire aux questions
& reporting. bugs; & updating. documentation;,x xx xx x xx xx,& reporting. bugs; & updating. documentation;
Credits and License,x x x,Remerciements et licence
& kappname;,x xx,& kappname;
Program copyright 2002-2008 Gael de Chalendar kleag@free. fr,x x xxx x x x xxxx x,Copyright du programme 2002-2008 Gael de Chalendar kleag@free. fr
"Contributors: Robin Doer, Albert Astals Cid, Michal Golunski (Polish translation).",xx x xx x x xx x x xx xxx,"Contributeurs & #160;: Robin Doer, Albert Astals Cid, Michal Golunski (traduction polonaise)"
Documentation copyright 2002-2008 Gael de Chalendar kleag@free. fr,x x xxx x x x xxxx x,Copyright de la documentation 2002-2008 Gael de Chalendar kleag@free. fr
CREDIT_FOR_TRANSLATORS,x,Traduction française par & StanislasZeller;.
& underFDL; & underGPL;,x xx x xx,& underFDL; & underGPL;
Installation,x,Installation
How to obtain & kappname;,x x x x xx,Comment obtenir & kappname;
& install. intro. documentation;,x xx xx xx,& install. intro. documentation;
Compilation and Installation,x x x,Compilation et Installation
& install. compile. documentation;,x xx xx xx,& install. compile. documentation;
